City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
496,Siparia,TT,83.79,overcast clouds,10.1333,-61.5,Brook Gardens
499,Charagua,BO,67.57,overcast clouds,-19.8,-63.2167,Hotel
500,Camoapa,NI,82.62,overcast clouds,12.3839,-85.5116,Hotel Las Pérgolas
501,Fagersta,SE,61.25,overcast clouds,60.0042,15.7932,Fagersta Brukshotell
502,Pedernales,DO,86.83,few clouds,18.0384,-71.744,Hotel Costa Marina
503,Kewanee,US,89.44,clear sky,41.2456,-89.9248,AmericInn by Wyndham Kewanee
505,Mairipora,BR,62.58,broken clouds,-23.3186,-46.5867,Hotel Refúgio Vista Serrana
507,Yima,CN,79.7,clear sky,34.7381,111.8839,Yima Hotel
508,Eyl,SO,76.53,clear sky,7.9803,49.8164,Amiin Hotel
509,Fortuna,US,76.91,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
510,Zhanakorgan,KZ,72.88,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
511,Kaputa,ZM,69.98,clear sky,-8.4689,29.6619,Chelelwa Charlets
512,Jardim,BR,70.68,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
518,Estelle,US,87.01,broken clouds,29.8458,-90.1067,Ohio
519,Alugan,PH,78.64,light rain,12.2188,125.4808,JM Lodge
520,Tongzi,CN,75.96,overcast clouds,28.7829,105.0877,Jiayuan Hotel
